e1,e2,e3,e4,e5,e6,e7,e8
410.7,195.5,268.7,319.5,340,135.2,319.1,371.4
93.7,53.3,49.4,64,66.2,60.1,67.7,79.8
597.2,217,110,108.3,140.3,112.9,127.5,178.2
56.1,62.4,83.3,97.8,259.5,652.1,437,399.6
101.3,100,97.8,101.2,189.3,728.8,1084.3,334.9
286.2,360.7,552.7,1003.2,299,482.3,341,391.8
430.1,743.9,599.1,253.6,235.2,383.9,803.8,852.6
439.9,704.5,227.9,230.9,213.5,230.5,297.4,404.5
333.3,446.1,542.2,828.2,311.3,130.6,154.9,128.2
84.1,723.4,88.2,77.3,191.3,105.4,62.1,57.2
588.1,341.3,260.3,564.3,626.8,658.2,940.9,751.2
839.6,656.5,347.1,304.2,429.3,587.7,784.9,385.4
95.1,301.5,105.6,136.6,284.1,147.7,127.8,159.1
227.9,256.1,250.6,443.9,604.7,590.3,582.3,247.3
274.2,496.3,53.5,70.3,64.8,83,118.7,130.7
639.4,400.2,282.5,303.8,1000,907.2,936.6,1208.3
423.8,382.2,182.2,457.7,494.3,161.2,197.3,174.4
444,296.7,89.4,366.8,80.3,74.2,65.9,104.6
755.1,90.2,529.6,87,98.9,124.6,202.9,120.6
390.1,194.6,194.4,389.5,357.1,244.4,320.8,232.8
